unit,model,disease,param,value
districts,RF,P.Falciparum,mtry,13
districts,RF,P.Falciparum,ntree,500
districts,RF,P.Vivax,mtry,12
districts,RF,P.Vivax,ntree,500
districts,XGBoost,P.Falciparum,nrounds,300
districts,XGBoost,P.Falciparum,eta,0.2
districts,XGBoost,P.Falciparum,max_depth,8
districts,XGBoost,P.Vivax,nrounds,300
districts,XGBoost,P.Vivax,eta,0.2
districts,XGBoost,P.Vivax,max_depth,8
districts,SVM,P.Falciparum,C,1
districts,SVM,P.Falciparum,sigma,0.25
districts,SVM,P.Vivax,C,64
districts,SVM,P.Vivax,sigma,0.5
hydrobasin_l6,RF,P.Falciparum,mtry,10
hydrobasin_l6,RF,P.Falciparum,ntree,500
hydrobasin_l6,RF,P.Vivax,mtry,14
hydrobasin_l6,RF,P.Vivax,ntree,500
hydrobasin_l6,XGBoost,P.Falciparum,nrounds,200
hydrobasin_l6,XGBoost,P.Falciparum,eta,0.05
hydrobasin_l6,XGBoost,P.Falciparum,max_depth,4
hydrobasin_l6,XGBoost,P.Vivax,nrounds,300
hydrobasin_l6,XGBoost,P.Vivax,eta,0.2
hydrobasin_l6,XGBoost,P.Vivax,max_depth,8
hydrobasin_l6,SVM,P.Falciparum,C,32
hydrobasin_l6,SVM,P.Falciparum,sigma,0.03125
hydrobasin_l6,SVM,P.Vivax,C,64
hydrobasin_l6,SVM,P.Vivax,sigma,0.03125
hydrobasin_l7,RF,P.Falciparum,mtry,11
hydrobasin_l7,RF,P.Falciparum,ntree,500
hydrobasin_l7,RF,P.Vivax,mtry,11
hydrobasin_l7,RF,P.Vivax,ntree,500
hydrobasin_l7,XGBoost,P.Falciparum,nrounds,200
hydrobasin_l7,XGBoost,P.Falciparum,eta,0.2
hydrobasin_l7,XGBoost,P.Falciparum,max_depth,8
hydrobasin_l7,XGBoost,P.Vivax,nrounds,300
hydrobasin_l7,XGBoost,P.Vivax,eta,0.2
hydrobasin_l7,XGBoost,P.Vivax,max_depth,8
hydrobasin_l7,SVM,P.Falciparum,C,64
hydrobasin_l7,SVM,P.Falciparum,sigma,0.5
hydrobasin_l7,SVM,P.Vivax,C,64
hydrobasin_l7,SVM,P.Vivax,sigma,0.25
hydrobasin_ana,RF,P.Falciparum,mtry,4
hydrobasin_ana,RF,P.Falciparum,ntree,500
hydrobasin_ana,RF,P.Vivax,mtry,13
hydrobasin_ana,RF,P.Vivax,ntree,500
hydrobasin_ana,XGBoost,P.Falciparum,nrounds,200
hydrobasin_ana,XGBoost,P.Falciparum,eta,0.1
hydrobasin_ana,XGBoost,P.Falciparum,max_depth,3
hydrobasin_ana,XGBoost,P.Vivax,nrounds,200
hydrobasin_ana,XGBoost,P.Vivax,eta,0.3
hydrobasin_ana,XGBoost,P.Vivax,max_depth,6
hydrobasin_ana,SVM,P.Falciparum,C,1
hydrobasin_ana,SVM,P.Falciparum,sigma,0.25
hydrobasin_ana,SVM,P.Vivax,C,64
hydrobasin_ana,SVM,P.Vivax,sigma,0.03125
