unit,period,disease,n_total,n_train,n_test,rmse_rf,rmse_xgb,rmse_svm
districts,2009-2013,P.Falciparum,3180,2545,635,10.98,11.01,12.44
districts,2014-2018,P.Falciparum,3180,2545,635,28.02,31.72,33.79
districts,2009-2013,P.Vivax,3180,2546,634,45.52,41.8,55.93
districts,2014-2018,P.Vivax,3180,2545,635,55.76,57.86,81.33
hydrobasin_l6,2009-2013,P.Falciparum,780,625,155,25.46,26.12,28.67
hydrobasin_l6,2014-2018,P.Falciparum,780,625,155,64.05,68.86,64.77
hydrobasin_l6,2009-2013,P.Vivax,780,626,154,99.47,98.63,99.36
hydrobasin_l6,2014-2018,P.Vivax,780,625,155,114.43,103.29,123.98
hydrobasin_l7,2009-2013,P.Falciparum,4560,3649,911,9.92,9.73,11.71
hydrobasin_l7,2014-2018,P.Falciparum,4560,3649,911,20.73,20.17,23.39
hydrobasin_l7,2009-2013,P.Vivax,4560,3648,912,32.24,30.82,39.76
hydrobasin_l7,2014-2018,P.Vivax,4560,3649,911,54.61,40.41,60.1
hydrobasin_ana,2009-2013,P.Falciparum,1980,1585,395,19.18,18.48,21.21
hydrobasin_ana,2014-2018,P.Falciparum,1980,1585,395,43.35,37.92,49.7
hydrobasin_ana,2009-2013,P.Vivax,1980,1585,395,56.06,54.4,59.96
hydrobasin_ana,2014-2018,P.Vivax,1980,1586,394,97.78,84.66,107.37
